Date,Start Time,End Time,Name,Category,Age Restriction,Price,Max Capacity,Description
2026-04-14,06:00,07:00,Stick and Puck,Hockey,18+,15,30,Bring your own equipment
2026-04-14,07:00,08:00,Morning Public Skate,Open Skate,All Ages,12,,
2026-04-14,11:30,12:30,Lunch Skate,Open Skate,All Ages,10,,
2026-04-14,16:00,17:00,Learn to Skate Class,Learn to Skate,Youth Only,25,20,Beginner level
2026-04-14,19:00,20:30,Adult Pickup Hockey,Hockey,18+,25,30,Goalies skate free
2026-04-14,21:00,22:30,Late Night Drop-in,Hockey,18+,25,30,
2026-04-15,06:00,07:30,Freestyle Session,Freestyle,All Ages,20,,
2026-04-15,09:00,10:30,Figure Skating Practice,Figure Skating,All Ages,30,,
2026-04-15,12:00,13:00,Lunch Hour Skate,Open Skate,All Ages,10,,
2026-04-15,15:30,17:00,After School Skate,Open Skate,Youth Only,8,,
2026-04-15,17:30,19:00,Youth Hockey Clinic,Hockey,Youth Only,35,24,All skill levels welcome
2026-04-15,20:00,21:30,Tuesday Night Beer League,Hockey,21+,250,30,Reserved for Riverside League
2026-04-16,06:00,07:00,Stick and Puck,Hockey,18+,15,30,
2026-04-16,11:30,12:30,Lunch Skate,Open Skate,All Ages,10,,
2026-04-16,17:00,18:30,Broomball Night,Broomball,18+,20,24,Equipment provided
2026-04-16,19:30,21:00,Adult Hockey Drop-in,Hockey,18+,25,30,
2026-04-17,06:00,07:30,Freestyle Session,Freestyle,All Ages,20,,
2026-04-17,11:30,12:30,Lunch Skate,Open Skate,All Ages,10,,
2026-04-17,18:30,20:00,Curling Open Play,Curling,Adults Only,30,16,No experience required
2026-04-17,20:30,22:00,Thursday Curling League,Curling,Adults Only,200,16,League members only
2026-04-18,06:00,07:00,Stick and Puck,Hockey,18+,15,30,
2026-04-18,11:30,12:30,Lunch Skate,Open Skate,All Ages,10,,
2026-04-18,17:00,18:30,Friday Night Lessons,Learn to Skate,All Ages,25,20,
2026-04-18,19:30,21:00,Friday Night Public Skate,Open Skate,All Ages,14,,DJ and lights
2026-04-18,21:30,23:00,Adult Pickup,Hockey,18+,25,30,
2026-04-19,08:00,09:30,Saturday Learn to Skate,Learn to Skate,Youth Only,25,30,
2026-04-19,10:00,11:30,Saturday Morning Public Skate,Open Skate,All Ages,14,,
2026-04-19,12:00,13:30,Family Skate,Open Skate,All Ages,14,,
2026-04-19,14:00,15:30,Open Hockey,Hockey,All Ages,15,30,
2026-04-19,16:00,17:30,Spring Tournament Block,Private Event,All Ages,500,,Reserved for U12 tournament
2026-04-19,18:00,19:30,Saturday Night Public Skate,Open Skate,All Ages,14,,
2026-04-19,20:00,21:30,Adult League Game,Hockey,18+,200,30,Riverside vs Northside
2026-04-20,09:00,10:30,Sunday Morning Skate,Open Skate,All Ages,12,,
2026-04-20,11:00,12:30,Family Skate,Open Skate,All Ages,14,,
2026-04-20,13:00,14:30,Birthday Party Block,Private Event,All Ages,300,,Smith family booking
2026-04-20,15:00,16:30,Sunday Public Skate,Open Skate,All Ages,14,,
2026-04-20,17:00,18:30,Sunday Pickup Hockey,Hockey,18+,25,30,
2026-04-20,19:00,20:30,Sunday Adult League,Hockey,21+,200,30,
2026-04-21,06:00,07:00,Stick and Puck,Hockey,18+,15,30,
2026-04-21,07:00,08:00,Morning Public Skate,Open Skate,All Ages,12,,
2026-04-21,11:30,12:30,Lunch Skate,Open Skate,All Ages,10,,
2026-04-21,16:00,17:00,Learn to Skate Class,Learn to Skate,Youth Only,25,20,
2026-04-21,19:00,20:30,Adult Pickup Hockey,Hockey,18+,25,30,
2026-04-21,21:00,22:30,Late Night Drop-in,Hockey,18+,25,30,
2026-04-22,06:00,07:30,Freestyle Session,Freestyle,All Ages,20,,
2026-04-22,09:00,10:30,Figure Skating Practice,Figure Skating,All Ages,30,,
2026-04-22,12:00,13:00,Lunch Hour Skate,Open Skate,All Ages,10,,
2026-04-22,17:30,19:00,Youth Hockey Clinic,Hockey,Youth Only,35,24,
2026-04-22,20:00,21:30,Tuesday Night Beer League,Hockey,21+,250,30,
2026-04-23,06:00,07:00,Stick and Puck,Hockey,18+,15,30,
2026-04-23,11:30,12:30,Lunch Skate,Open Skate,All Ages,10,,
2026-04-23,17:00,18:30,Broomball Night,Broomball,18+,20,24,
2026-04-23,19:30,21:00,Adult Hockey Drop-in,Hockey,18+,25,30,
2026-04-24,06:00,07:30,Freestyle Session,Freestyle,All Ages,20,,
2026-04-24,11:30,12:30,Lunch Skate,Open Skate,All Ages,10,,
2026-04-24,18:30,20:00,Curling Open Play,Curling,Adults Only,30,16,
2026-04-24,20:30,22:00,Thursday Curling League,Curling,Adults Only,200,16,
2026-04-25,06:00,07:00,Stick and Puck,Hockey,18+,15,30,
2026-04-25,11:30,12:30,Lunch Skate,Open Skate,All Ages,10,,
2026-04-25,17:00,18:30,Friday Night Lessons,Learn to Skate,All Ages,25,20,
2026-04-25,19:30,21:00,Friday Night Public Skate,Open Skate,All Ages,14,,
2026-04-25,21:30,23:00,Adult Pickup,Hockey,18+,25,30,
2026-04-26,08:00,09:30,Saturday Learn to Skate,Learn to Skate,Youth Only,25,30,
2026-04-26,10:00,11:30,Senior Skate,Open Skate,Seniors (55+),8,,Coffee and donuts after
2026-04-26,12:00,13:30,Family Skate,Open Skate,All Ages,14,,
2026-04-26,14:00,15:30,Open Hockey,Hockey,All Ages,15,30,
2026-04-26,16:00,17:30,Spring Tournament Block,Private Event,All Ages,500,,U10 tournament
2026-04-26,18:00,19:30,Saturday Night Public Skate,Open Skate,All Ages,14,,
2026-04-26,20:00,21:30,Adult League Playoff,Hockey,18+,200,30,Semifinal
